,Town,3-Room,4-Room,5-Room
0,Ang Mo Kio,1700,2100,2400
1,Bedok,1700,2000,2250
2,Bishan,1800,2300,2500
3,Bukit Batok,1600,1900,2050
4,Bukit Merah,1950,2500,2800
5,Bukit Panjang,1500,1700,1800
6,Bukit Timah,1500,1700,1800
7,Central,2200,2800,2500
8,Choa Chu Kang,1480,1750,1900
9,Clementi,1850,2400,2600
10,Geylang,1800,2250,2500
11,Hougang,1600,1900,2100
12,Jurong East,1700,2000,2200
13,Jurong West,1600,2000,2100
14,Kallang/ Whampoa,1900,2450,2630
15,Marine Parade,1800,2100,2500
16,Pasir Ris,1800,1950,2080
17,Punggol,1700,1900,1900
18,Queenstown,1900,2520,2800
19,Sembawang,1600,1800,1900
20,Sengkang,1650,1880,1900
21,Serangoon,1800,2190,2200
22,Simei,1800,2100,2200
23,Tampines,1750,2000,2200
24,Toa Payoh,1800,2300,2600
25,Woodlands,1400,1700,1800
26,Yishun,1600,1800,2000
